POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;Classified;17;32:50.888;+0.213;+0.213;9;1:46.612;145.6;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
2;9;Classified;17;32:50.675;-;-;10;1:46.847;145.3;MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
3;99;Classified;17;32:51.529;+0.854;+0.641;10;1:46.564;145.7;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
4;11;Classified;17;32:52.288;+1.613;+0.759;10;1:46.663;145.6;KCL MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
5;22;Classified;17;32:55.762;+5.087;+3.474;17;1:46.760;145.4;MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
6;19;Classified;17;32:57.842;+7.167;+2.080;11;1:47.100;145.0;Griffin Core;;B;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
7;46;Classified;17;32:58.599;+7.924;+0.757;13;1:47.147;144.9;Rodin Motorsport;;B;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
8;81;Classified;17;32:59.774;+9.099;+1.175;12;1:46.999;145.1;Campos Racing;R;B;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
9;1;Classified;17;33:01.337;+10.662;+1.563;12;1:47.079;145.0;KCL MP Motorsport;;A;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
10;33;Classified;17;33:04.451;+13.776;+3.114;14;1:47.317;144.7;Drivex;R;A;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
