POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;11;Classified;14;28:11.866;-;-;10;1:43.006;162.8;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
2;2;Classified;14;28:15.113;+3.247;+3.247;9;1:43.299;162.3;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
3;3;Classified;14;28:16.525;+4.659;+1.412;11;1:43.364;162.2;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Rocco;CORONEL;;;NLD;;;;;;;
4;10;Classified;14;28:19.524;+7.658;+2.999;10;1:43.548;161.9;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
5;99;Classified;14;28:19.936;+8.070;+0.412;11;1:43.315;162.3;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
6;19;Classified;14;28:20.273;+8.407;+0.337;11;1:43.575;161.9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
7;77;Classified;14;28:21.549;+9.683;+1.276;13;1:43.716;161.6;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
8;23;Classified;14;28:22.253;+10.387;+0.704;12;1:43.416;162.1;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
9;48;Classified;14;28:23.566;+11.700;+1.313;11;1:43.603;161.8;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
10;39;Classified;14;28:24.962;+13.096;+1.396;10;1:44.205;160.9;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
11;46;Classified;14;28:27.112;+15.246;+2.150;14;1:43.827;161.5;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
12;81;Classified;14;28:27.698;+15.832;+0.586;14;1:43.713;161.6;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
13;33;Classified;14;28:29.131;+17.265;+1.433;14;1:44.040;161.1;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Kirill;KUTSKOV;;;KGZ;KUT;;;;;;
14;78;Classified;14;28:30.586;+18.720;+1.455;12;1:44.352;160.7;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
