POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;Classified;14;27:58.348;-;-;11;1:58.589;162.2;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
2;4;Classified;14;27:58.434;+0.086;+0.086;12;1:58.727;162.0;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
3;1;Classified;14;27:58.522;+0.174;+0.088;13;1:58.243;162.7;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
4;81;Classified;14;27:59.136;+0.788;+0.614;9;1:58.875;161.8;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
5;2;Classified;14;28:02.433;+4.085;+3.297;13;1:58.810;161.9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
6;9;Classified;14;28:02.730;+4.382;+0.297;13;1:58.623;162.2;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
7;5;Classified;14;28:04.211;+5.863;+1.481;13;1:58.481;162.4;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
8;11;Classified;14;28:07.042;+8.694;+2.831;14;1:58.712;162.1;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
9;46;Classified;14;28:07.976;+9.628;+0.934;14;1:58.818;161.9;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
10;6;Classified;14;28:11.454;+13.106;+3.478;14;1:59.027;161.6;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Sacha;VAN'T PAD BOSCH;;;NLD;;;;;;;
11;77;Classified;14;28:11.610;+13.262;+0.156;14;1:58.478;162.4;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
12;78;Classified;14;28:12.515;+14.167;+0.905;13;1:58.670;162.1;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
13;39;Classified;14;28:13.660;+15.312;+1.145;14;1:58.760;162.0;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
14;25;Classified;14;28:15.086;+16.738;+1.426;12;1:58.827;161.9;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Francisco;MONARCA;;;ARG;MOR;;;;;;
15;22;Classified;14;28:17.287;+18.939;+2.201;14;1:58.150;162.8;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
16;88;Classified;14;28:19.494;+21.146;+2.207;12;1:59.028;161.6;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;ARG;;;;;;;
17;37;Classified;14;28:20.392;+22.044;+0.898;12;1:59.182;161.4;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
18;33;Classified;14;28:20.757;+22.409;+0.365;13;1:59.013;161.6;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
19;19;Classified;14;28:20.843;+22.495;+0.086;13;1:59.057;161.6;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
20;48;Classified;14;28:24.856;+26.508;+4.013;11;1:59.326;161.2;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
21;91;Classified;14;28:25.411;+27.063;+0.555;12;1:59.022;161.6;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
22;70;Classified;14;28:27.325;+28.977;+1.914;14;1:59.401;161.1;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
23;32;Classified;14;28:31.750;+33.402;+4.425;12;2:00.168;160.1;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
24;27;Classified;14;28:35.744;+37.396;+3.994;13;1:59.066;161.6;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
25;15;Classified;14;28:36.092;+37.744;+0.348;12;2:00.150;160.1;DXR;;;;Tatuus F4 T -421;;;;;;;;;;;;Edward;ROBINSON;;;ESP;ROB;;;;;;
26;41;Classified;14;28:38.475;+40.127;+2.383;14;1:59.778;160.6;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
27;24;Classified;14;28:38.490;+40.142;+0.015;14;1:59.856;160.5;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kyuho;LEE;;;KOR;;;;;;;
28;8;Classified;14;28:43.972;+45.624;+5.482;14;2:00.518;159.6;Saintéloc Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;KAP;;;;;;
29;14;Classified;14;28:48.035;+49.687;+4.063;13;2:00.994;159.0;Saintéloc Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;KAJ;;;;;;
30;71;Classified;14;28:50.719;+52.371;+2.684;14;2:01.120;158.8;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Daniel;DALLAKYAN;;;ARM;DALL;;;;;;
31;55;Classified;14;28:54.649;+56.301;+3.930;14;1:59.871;160.5;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
32;10;Classified;14;29:08.187;+1:09.839;+13.538;12;1:58.963;161.7;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
33;57;Classified;14;29:17.743;+1:19.395;+9.556;9;2:01.063;158.9;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Artem;SEVERIUKHIN;;;KGZ;;;;;;;
34;99;Classified;14;29:18.806;+1:20.458;+1.063;12;1:58.083;162.9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
35;17;Classified;14;29:44.020;+1:45.672;+25.214;11;1:59.449;161.1;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
