POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;99;Classified;17;32:34.068;-;-;11;1:44.633;152.2;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
2;23;Classified;17;32:35.148;+1.080;+1.080;13;1:44.627;152.2;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
3;9;Classified;17;32:36.256;+2.188;+1.108;11;1:44.628;152.2;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
4;22;Classified;17;32:37.908;+3.840;+1.652;9;1:44.788;152.0;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
5;81;Classified;17;32:38.524;+4.456;+0.616;11;1:44.647;152.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
6;4;Classified;17;32:39.101;+5.033;+0.577;9;1:44.863;151.8;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
7;46;Classified;17;32:40.685;+6.617;+1.584;11;1:44.936;151.7;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
8;11;Classified;17;32:42.096;+8.028;+1.411;9;1:44.938;151.7;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
9;2;Classified;17;32:44.058;+9.990;+1.962;12;1:44.985;151.7;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
10;48;Classified;17;32:45.121;+11.053;+1.063;10;1:45.097;151.5;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
11;57;Classified;17;32:46.866;+12.798;+1.745;9;1:45.298;151.2;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
12;78;Classified;17;32:47.914;+13.846;+1.048;8;1:45.335;151.2;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
13;1;Classified;17;32:48.672;+14.604;+0.758;13;1:45.150;151.4;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
14;19;Classified;17;32:49.385;+15.317;+0.713;10;1:45.330;151.2;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
15;41;Classified;17;32:49.857;+15.789;+0.472;10;1:45.385;151.1;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
16;17;Classified;17;32:55.484;+21.416;+5.627;12;1:45.650;150.7;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
17;55;Classified;17;32:55.893;+21.825;+0.409;11;1:45.518;150.9;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
18;13;Classified;17;32:58.339;+24.271;+2.446;9;1:45.771;150.5;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;;;;;;;
19;27;Classified;17;32:58.766;+24.698;+0.427;13;1:45.311;151.2;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
20;12;Classified;17;32:59.195;+25.127;+0.429;11;1:45.551;150.9;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;;;;;;;
21;91;Classified;17;32:59.471;+25.403;+0.276;13;1:45.464;151.0;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Lorenzo;CAMPOS;;;AGO;;;;;;;
22;33;Classified;17;33:00.376;+26.308;+0.905;11;1:45.524;150.9;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
23;70;Classified;17;33:01.025;+26.957;+0.649;13;1:45.927;150.3;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
