POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;99;Classified;20;31:37.996;-;-;8;1:34.162;153.1;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
2;23;Classified;20;31:40.581;+2.585;+2.585;5;1:34.420;152.7;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
3;4;Classified;20;31:43.035;+5.039;+2.454;4;1:34.586;152.4;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
4;9;Classified;20;31:43.608;+5.612;+0.573;5;1:34.542;152.5;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
5;11;Classified;20;31:48.354;+10.358;+4.746;6;1:34.757;152.2;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
6;2;Classified;20;31:49.946;+11.950;+1.592;8;1:34.822;152.1;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
7;39;Classified;20;31:55.800;+17.804;+5.854;9;1:35.200;151.4;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
8;81;Classified;20;31:56.734;+18.738;+0.934;9;1:35.129;151.6;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
9;46;Classified;20;32:01.866;+23.870;+5.132;8;1:35.326;151.2;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
10;5;Classified;20;32:02.698;+24.702;+0.832;16;1:35.356;151.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
11;1;Classified;20;32:04.570;+26.574;+1.872;7;1:35.400;151.1;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
12;17;Classified;20;32:05.246;+27.250;+0.676;8;1:35.398;151.1;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
13;78;Classified;20;32:06.137;+28.141;+0.891;9;1:35.331;151.2;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
14;33;Classified;20;32:08.640;+30.644;+2.503;14;1:35.552;150.9;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
15;19;Classified;20;32:09.669;+31.673;+1.029;16;1:35.483;151.0;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
16;22;Classified;20;32:10.774;+32.778;+1.105;7;1:35.455;151.0;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
17;48;Classified;20;32:12.040;+34.044;+1.266;13;1:35.358;151.2;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
18;13;Classified;20;32:13.174;+35.178;+1.134;13;1:35.683;150.7;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;KJP;;;;;;
19;25;Classified;20;32:18.914;+40.918;+5.740;12;1:35.525;150.9;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miki;BLASCOS;;;ESP;BLA;;;;;;
20;55;Classified;20;32:22.645;+44.649;+3.731;12;1:35.863;150.4;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
21;12;Classified;20;32:28.589;+50.593;+5.944;15;1:35.627;150.8;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;KPA;;;;;;
22;77;Classified;20;32:29.024;+51.028;+0.435;14;1:35.256;151.4;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
23;41;Classified;20;32:31.442;+53.446;+2.418;6;1:35.768;150.6;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
24;37;Classified;20;32:32.031;+54.035;+0.589;8;1:35.421;151.1;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
25;57;Classified;20;32:33.751;+55.755;+1.720;20;1:35.945;150.3;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
26;88;Classified;20;32:35.414;+57.418;+1.663;15;1:36.161;149.9;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
27;32;Classified;20;32:41.984;+1:03.988;+6.570;14;1:35.949;150.3;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
28;10;Classified;20;32:51.117;+1:13.121;+9.133;6;1:36.084;150.1;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
29;6;Classified;20;32:51.919;+1:13.923;+0.802;20;1:36.144;150.0;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleix;PIÑERA;;;ESP;;;;;;;
30;15;Classified;20;32:52.399;+1:14.403;+0.480;8;1:36.181;149.9;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ricardo;BAPTISTA;;;BRA;;;;;;;
