POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;37;Classified;16;32:32.419;-;-;7;2:01.361;173.3;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Kacper;SZTUKA;;;POL;;;;;;;
2;55;Classified;16;32:32.585;+0.166;+0.166;7;2:01.267;173.4;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Valerio;RINICELLA;;;ITA;;;;;;;
3;24;Classified;16;32:33.301;+0.882;+0.716;6;2:01.363;173.3;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Ernesto;RIVERA;;;MEX;;;;;;;
4;27;Classified;16;32:37.345;+4.926;+4.044;8;2:01.392;173.3;Griffin Core;;;;Tatuus T-318;;;;;;;;;;;;Jesse;CARRASQUEDO;;;MEX;CRR;;;;;;
5;71;Classified;16;32:40.307;+7.888;+2.962;6;2:01.722;172.8;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Mattia;COLNAGHI;;;ITA;;;;;;;
6;7;Classified;16;32:40.737;+8.318;+0.430;4;2:01.846;172.6;MP Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;Maciej;GLADYSZ;;;POL;;;;;;;
7;48;Classified;16;32:41.513;+9.094;+0.776;6;2:01.577;173.0;Palou Motorsport;R;;;Tatuus T-318;;;;;;;;;;;;James;EGOZI;;;USA;;;;;;;
8;77;Classified;16;32:42.614;+10.195;+1.101;6;2:01.656;172.9;MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Emerson;FITTIPALDI;;;BRA;;;;;;;
9;12;Classified;16;32:46.817;+14.398;+4.203;9;2:01.943;172.5;KCL MP Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Alexander;ABKHAZAVA;;;KAZ;;;;;;;
10;11;Classified;16;32:53.160;+20.741;+6.343;7;2:02.359;171.9;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Oscar;WURZ;;;AUT;;;;;;;
11;17;Classified;16;32:53.895;+21.476;+0.735;5;2:02.090;172.3;DXR;;;;Tatuus T-318;;;;;;;;;;;;Owen;TANGAVELOU;;;VNM;;;;;;;
12;8;Classified;16;32:54.218;+21.799;+0.323;9;2:01.403;173.2;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Enzo;TARNVANICHKUL;;;THA;;;;;;;
13;5;Classified;16;33:00.565;+28.146;+6.347;6;2:02.350;171.9;Palou Motorsport;;;;Tatuus T-318;;;;;;;;;;;;Luciano;MORANO;;;FRA;;;;;;;
14;25;Classified;16;33:01.370;+28.951;+0.805;6;2:02.361;171.9;Drivex;R;;;Tatuus T-318;;;;;;;;;;;;Preston;LAMBERT;;;USA;;;;;;;
15;83;Classified;16;33:10.028;+37.609;+8.658;4;2:02.597;171.5;Campos Racing;R;;;Tatuus T-318;;;;;;;;;;;;Jules;CARANTA;;;FRA;CRT;;;;;;
