POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;99;Classified;16;31:54.793;-;-;16;1:46.688;157.0;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
2;4;Classified;16;31:55.970;+1.177;+1.177;4;1:46.748;156.9;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
3;11;Classified;16;31:57.331;+2.538;+1.361;16;1:46.947;156.6;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
4;77;Classified;16;32:00.240;+5.447;+2.909;15;1:47.295;156.1;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
5;33;Classified;16;32:00.630;+5.837;+0.390;4;1:47.094;156.4;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
6;2;Classified;16;32:00.647;+5.854;+0.017;15;1:46.988;156.6;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
7;81;Classified;16;32:01.337;+6.544;+0.690;16;1:47.266;156.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
8;10;Classified;16;32:01.825;+7.032;+0.488;15;1:46.994;156.6;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
9;19;Classified;16;32:03.718;+8.925;+1.893;16;1:47.360;156.0;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
10;48;Classified;16;32:04.679;+9.886;+0.961;5;1:47.574;155.7;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Gino;TRAPPA;;;ARG;;;;;;;
11;1;Classified;16;32:05.202;+10.409;+0.523;5;1:47.512;155.8;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
