POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;99;Classified;19;32:58.820;-;-;5;1:42.773;163.1;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
2;23;Classified;19;33:06.150;+7.330;+7.330;4;1:43.036;162.7;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
3;4;Classified;19;33:07.175;+8.355;+1.025;7;1:43.256;162.4;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
4;5;Classified;19;33:12.777;+13.957;+5.602;4;1:43.359;162.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
5;81;Classified;19;33:12.931;+14.111;+0.154;4;1:43.104;162.6;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
6;46;Classified;19;33:14.594;+15.774;+1.663;5;1:43.579;161.9;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
7;1;Classified;19;33:15.399;+16.579;+0.805;7;1:43.654;161.7;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
8;12;Classified;19;33:24.628;+25.808;+9.229;5;1:43.476;162.0;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;KPA;;;;;;
9;22;Classified;19;33:25.286;+26.466;+0.658;5;1:43.826;161.5;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
10;37;Classified;19;33:25.758;+26.938;+0.472;7;1:43.605;161.8;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
