POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;23;9;1:44.591;-;-;160.2;9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
2;99;8;1:44.815;+0.224;+0.224;159.8;9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
3;4;6;1:44.909;+0.318;+0.094;159.7;10;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
4;5;7;1:45.062;+0.471;+0.153;159.4;9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
5;22;4;1:45.076;+0.485;+0.014;159.4;9;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
6;81;6;1:45.130;+0.539;+0.054;159.3;9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
7;10;5;1:45.178;+0.587;+0.048;159.3;8;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
8;19;9;1:45.207;+0.616;+0.029;159.2;9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
9;2;6;1:45.216;+0.625;+0.009;159.2;9;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
10;9;4;1:45.291;+0.700;+0.075;159.1;8;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
11;11;7;1:45.316;+0.725;+0.025;159.1;10;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
12;1;5;1:45.386;+0.795;+0.070;158.9;9;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
13;33;6;1:45.391;+0.800;+0.005;158.9;9;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
14;39;10;1:45.394;+0.803;+0.003;158.9;11;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
15;46;9;1:45.421;+0.830;+0.027;158.9;9;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
16;77;5;1:45.654;+1.063;+0.233;158.5;9;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
17;78;6;1:45.689;+1.098;+0.035;158.5;9;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
18;37;6;1:45.716;+1.125;+0.027;158.5;9;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
